"rank","title","score"
"1","Berserk","9.47"
"2","JoJo no Kimyou na Bouken Part 7: Steel Ball Run","9.30"
"3","Vagabond","9.24"
"4","One Piece","9.22"
"5","Monster","9.15"
"6","Slam Dunk","9.08"
"7","Vinland Saga","9.06"
"8","Fullmetal Alchemist","9.03"
"9","Grand Blue","9.03"
"10","Oyasumi Punpun","9.01"
"11","Kingdom","9.00"
"12","Houseki no Kuni","8.96"
"13","20th Century Boys","8.95"
"14","Ashita no Joe","8.94"
"15","Real","8.93"
"16","Monogatari Series: First Season","8.93"
"17","Monogatari Series: Second Season","8.91"
"18","Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen","8.91"
"19","Mikkakan no Koufuku","8.91"
"20","Yotsuba to!","8.89"
"21","GTO","8.88"
"22","3-gatsu no Lion","8.88"
"23","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e","8.87"
"24","Koe no Katachi","8.86"
"25","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen","8.85"
"26","Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch","8.85"
"27","Haikyuu!!","8.85"
"28","Monogatari Series: Final Season","8.85"
"29","Ookami to Koushinryou","8.83"
"30","Kaze no Tani no Nausicaä","8.82"
"31","Akatsuki no Yona","8.82"
"32","86","8.81"
"33","Mushoku Tensei: Isekai Ittara Honki Dasu","8.80"
"34","Re:Zero kara Hajimeru Isekai Seikatsu","8.79"
"35","Nana","8.79"
"36","Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.","8.78"
"37","Made in Abyss","8.77"
"38","Uchuu Kyoudai","8.77"
"39","Yahari Ore no Seishun Love Comedy wa Machigatteiru.","8.77"
"40","One Punch-Man","8.75"
"41","Chainsaw Man","8.74"
"42","Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen","8.74"
"43","Kokou no Hito","8.74"
"44","Hunter x Hunter","8.73"
"45","Hajime no Ippo","8.72"
"46","Mushishi","8.72"
"47","Tian Guan Cifu","8.70"
"48","Utsuro no Hako to Zero no Maria","8.70"
"49","Shoujo Shuumatsu Ryokou","8.70"
"50","Death Note","8.69"
"51","Beck","8.69"
"52","Kono Oto Tomare!","8.69"
"53","Sayonara Eri","8.69"
"54","Yokohama Kaidashi Kikou","8.68"
"55","Akira","8.68"
"56","Dorohedoro","8.68"
"57","Kino no Tabi: The Beautiful World","8.67"
"58","Yagate Kimi ni Naru","8.67"
"59","Solo Leveling","8.67"
"60","The Horizon","8.67"
"61","Sousou no Frieren","8.67"
"62","Kozure Ookami","8.66"
"63","Natsume Yuujinchou","8.66"
"64","Zaregoto Series","8.66"
"65","Shinyaku Toaru Majutsu no Index","8.66"
"66","Kimi no Suizou wo Tabetai","8.65"
"67","Bungou Stray Dogs: Beast","8.65"
"68","ReLIFE","8.65"
"69","Overlord","8.65"
"70","Golden Kamuy","8.64"
"71","Koten-bu Series","8.64"
"72","Violet Evergarden","8.64"
"73","Blue Period","8.64"
"74","Seishun Buta Yarou Series","8.63"
"75","""Oshi no Ko""","8.63"
"76","Gintama","8.63"
"77","Aria","8.63"
"78","Pluto","8.62"
"79","Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari","8.62"
"80","Tian Guan Cifu","8.62"
"81","Kono Subarashii Sekai ni Shukufuku wo!","8.62"
"82","Mob Psycho 100","8.61"
"83","Banana Fish","8.61"
"84","Hi no Tori (1967)","8.61"
"85","Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka","8.61"
"86","Veil","8.61"
"87","Tongari Boushi no Atelier","8.60"
"88","Ao Ashi","8.60"
"89","Monogatari Series: Monster Season","8.60"
"90","Suzumiya Haruhi Series","8.60"
"91","Ginga Eiyuu Densetsu","8.60"
"92","Kaoru Hana wa Rin to Saku","8.60"
"93","Omniscient Reader","8.59"
"94","Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch","8.59"
"95","Shigatsu wa Kimi no Uso","8.59"
"96","Neon Genesis Evangelion","8.58"
"97","JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai","8.57"
"98","Pandora Hearts","8.57"
"99","Skip to Loafer","8.57"
"100","Wind Breaker","8.57"
